RelativePath                                                      AOM Annotation
\Surface\Elements\Box.cs                                          [P] Socket Model {D} ScriptType (F) ConnectionTick -> CreateConnection [S] Volatile interaction
\Surface\Elements\InputBox.cs                                     [P] Input Socket {D} IDefaultValueEditor (F) CreateDefaultEditor [S] Volatile interaction
\Surface\Elements\OutputBox.cs                                    [P] Output Socket {D} BezierCurve (F) DrawConnections [S] Volatile interaction
\Surface\SurfaceNodeElementControl.cs                             [P] Inline UI Element {D} SurfaceNode, NodeElementArchetype [S] Volatile UI
\Surface\ResizableSurfaceNode.cs                                  [P] Decorator View {D} ResizeBorder (F) OnMouseMove -> Resize [S] Volatile UI State
\Surface\SurfaceComment.cs                                        [P] Resizable Container {D} ResizableSurfaceNode (F) StartRenaming -> OnColorChanged [S] Persistent
\Surface\Elements\AssetSelect.cs                                  [P] Picker {D} AssetSelect (F) OnNodeValuesChanged [S] Volatile UI
\Surface\Elements\ActorSelect.cs                                  [P] Picker {D} ActorSelect (F) OnNodeValuesChanged [S] Volatile UI
\Surface\Elements\SkeletonBoneIndexSelectElement.cs               [P] Picker {D} ComboBoxElement, SkinnedModel [S] Volatile
\Surface\Elements\SkeletonNodeNameSelectElement.cs                [P] Picker {D} ComboBoxElement, SkinnedModel [S] Volatile
\Surface\Elements\ComboBoxElement.cs                              [P] Dropdown {D} ComboBox [S] Volatile
\Surface\Elements\EnumValue.cs                                    [P] Dropdown {D} EnumComboBox [S] Volatile
\Surface\Elements\BoolValue.cs                                    [P] Widget {D} BoolValue (F) Draw -> Toggle [S] Volatile
\Surface\Elements\IntegerValue.cs                                 [P] Numeric {D} IntValueBox [S] Volatile
\Surface\Elements\UnsignedIntegerValue.cs                         [P] Numeric {D} UIntValueBox [S] Volatile
\Surface\Elements\FloatValue.cs                                   [P] Numeric {D} FloatValueBox [S] Volatile
\Surface\Elements\ColorValue.cs                                   [P] Picker {D} ColorValueBox, Color [S] Volatile
\Surface\Elements\BoxValue.cs                                     [P] Widget {D} RealValueBox, BoundingBox [S] Volatile
\Surface\Elements\TextView.cs                                     [P] Label {D} SurfaceNodeElementControl [S] Volatile
\Surface\Elements\TextBoxView.cs                                  [P] Input {D} TextBox [S] Volatile
\Surface\Undo\AddRemoveNodeAction.cs                              [P] Command {D} NodeFactory (F) Do/Undo [S] Volatile Undo
\Surface\Undo\MoveNodesAction.cs                                  [P] Command {D} ContextHandle (F) Do/Undo [S] Volatile Undo
\Surface\Undo\ConnectBoxesAction.cs                               [P] Command {D} BoxHandle (F) Do/Undo [S] Volatile Undo
\Surface\Undo\EditNodeConnections.cs                              [P] Command {D} BoxHandle (F) Do/Undo [S] Volatile Undo
\Surface\Undo\EditNodeValuesAction.cs                             [P] Command {D} ContextHandle (F) Do/Undo [S] Volatile Undo
\Surface\Undo\ContextHandle.cs                                    [P] Handle Flyweight {D} ISurfaceContext [S] Static Handle
\Surface\Undo\BoxHandle.cs                                        [P] Handle Flyweight {D} Box [S] Static Handle
\Surface\AttributesEditor.cs                                      [P] Property Grid Popup {D} CustomEditorPresenter, ObjectSwitcherEditor (F) Select -> Modified -> Edited [S] Volatile UI
\Surface\NodeElementArchetype.cs                                  [P] Builder Factory {D} NodeElementType (F) Input/Output/Float [S] Static Registry
\Surface\ISurfaceContext.cs                                       [P] Interface (Data Context) {D} Asset (F) OnContextCreated [S] N/A
\Surface\IVisjectSurfaceOwner.cs                                  [P] Interface (Mediator) {D} ISurfaceContext, Undo [S] N/A
\Surface\ISurfaceNodeElement.cs                                   [P] Interface (Component) {D} SurfaceNode, NodeElementArchetype [S] N/A
\Surface\IFunctionDependantNode.cs                                [P] Interface (Observer) (F) OnFunctionCreated/Edited/Deleted [S] N/A
\Surface\IParametersDependantNode.cs                              [P] Interface (Observer) (F) OnParamCreated/Renamed/Edited/Deleted [S] N/A
\Surface\NodeAlignmentType.cs                                     [P] Enum [S] N/A
\Surface\NodeElementType.cs                                       [P] Enum [S] N/A
\Surface\NodeFlags.cs                                             [P] Enum (Flags) [S] N/A
\Surface\TransformCoordinateSystem.cs                             [P] Enum [S] N/A
\Surface\GUI\VisjectContextNavigationButton.cs                    [P] Nav Button {D} NavigationButton (F) OnClick -> ChangeContext [S] Volatile UI
\Viewport                                                         [P] Subsystem-Root. Core UI-to-GPU bridge for scene interaction.
\Viewport\EditorViewport.cs                                       [P] TemplateMethod/RenderControl. {D} ViewportCamera, InputActions, EditorOptions. (F) GatherInput -> UpdateView -> CopyViewData. [S] Yaw/Pitch, CameraSpeed, Planes.
\Viewport\EditorGizmoViewport.cs                                  [P] Bridge/GizmoOwner. {D} SceneRenderTask, Undo. (F) Ctor -> OnUpdate -> OnDestroy. [S] GizmoCollection, InputState.
\Viewport\MainEditorGizmoViewport.cs                              [P] Mediator/RootViewport. {D} TransformGizmo, SelectionOutline, EditorSprites. (F) OnBegin -> OnCollectDrawCalls -> OnPostRender. [S] GameViewMode, DebugDrawData.
\Viewport\PrefabWindowViewport.cs                                 [P] Specialization/Preview. {D} PrefabPreview, UIEditorRoot. (F) SetUIMode -> ChangeScaling. [S] ShowUI, UIScalingIndex.
\Gizmo                                                            [P] Strategy/Interaction Tools {D} IGizmoOwner, SceneGraph (F) Pick -> StartTransform -> Apply -> EndTransform [S] Volatile State
\Gizmo\GizmosCollection.cs                                        [P] Registry/Manager {D} GizmoBase, EditorGizmoMode (F) Add -> SetActiveMode [S] Persistent Lifecycle
\Gizmo\GizmoBase.cs                                               [P] Interaction Interface {D} IGizmoOwner (F) Activate -> OnActivated -> OnSelectionChanged [S] Volatile
\Gizmo\TransformGizmo.cs                                          [P] Transformation Tool {D} TransformGizmoBase (F) Pick -> SnapToGround -> OnEndTransforming (Undo Action) [S] Volatile
\Gizmo\TransformGizmoBase.cs                                      [P] Abstract Tool Logic {D} GizmoBase (F) UpdateMatrices -> UpdateTranslateScale -> StartTransforming [S] Volatile
\Gizmo\TransformGizmoBase.Draw.cs                                 [P] Tool Visuals {D} Model, MaterialInstance (F) Draw (LOD/Mesh draw calls) [S] Static Assets
\Gizmo\TransformGizmoBase.Selection.cs                            [P] Hitting Logic {D} Ray (F) SelectAxis (Collision check) -> IntersectsRotateCircle [S] Volatile
\Gizmo\TransformGizmoBase.Settings.cs                             [P] Tool Config (F) ToggleTransformSpace [S] Persistent Settings
\Gizmo\DirectionGizmo.cs                                          [P] Viewport Tool {D} IGizmoOwner (F) DrawSelf (Project unit vectors) -> OrientViewToAxis [S] Volatile UI
\Gizmo\GridGizmo.cs                                               [P] Background Helper {D} PostProcessEffect, GPUPipelineState (F) Render (Draw grid shader) [S] Persistent
\Gizmo\SelectionOutline.cs                                        [P] PostProcess {D} MaterialInstance, SceneRenderTask (F) DrawSelectionDepth -> Render [S] Volatile (Frame)
\Gizmo\EditorPrimitives.cs                                        [P] Render Pass {D} PostProcessEffect, IEditorPrimitivesOwner (F) Render -> DrawEditorPrimitives [S] Volatile (Frame)
\Gizmo\UIEditorGizmo.cs                                           [P] UI Layout Tool {D} UIEditorRoot, UIEditorCamera (F) OnMouseMove -> Resize control -> StartUndo [S] Volatile UI
\Gizmo\ViewportRubberBandSelector.cs                              [P] Batch Selector {D} IGizmoOwner (F) UpdateRubberBand (Frustum culling/Points loop) [S] Volatile UI
\Gizmo\IGizmoOwner.cs                                             [P] Interface [S] N/A
\Viewport\Cameras\ViewportCamera.cs                               [P] Abstract-Base. {D} EditorViewport, Gizmos. (F) FocusSelection -> SetArcBallView. [S] ViewportRef.
\Viewport\Cameras\FPSCamera.cs                                    [P] Strategy/Camera. {D} Viewport, TransformGizmo. (F) UpdateView (Dolly/Pan/Orbit) -> MoveViewport(Anim). [S] TargetPoint, ZoomFOV.
\Viewport\Cameras\ArcBallCamera.cs                                [P] Strategy/Camera. {D} Viewport. (F) UpdatePosition -> UpdateView. [S] OrbitCenter, OrbitRadius.
\Viewport\Cameras\IViewportCamera.cs                              [P] Interface/Contract. (F) Update, UpdateView.
\Viewport\Modes\EditorGizmoMode.cs                                [P] State-Strategy. {D} IGizmoOwner. (F) OnActivated -> OnDeactivated.
\Viewport\Modes\TransformGizmoMode.cs                             [P] Strategy-Impl. (F) OnActivated -> SetsGizmo.
\Viewport\Modes\NoGizmoMode.cs                                    [P] Null-Object. (F) OnActivated -> NullsGizmo.
\ViewportDebugDrawData.cs                                         [P] Batcher/Collector {D} DebugDraw, RenderContext (F) Add/Highlight -> OnDraw -> Clear [S] Volatile (Frame-bound)
\Viewport\Previews\AssetPreview.cs                                [P] Abstract-Base/Preview. {D} SceneRenderTask, Light, Sky. (F) Ctor -> SetArcBallView -> DrawEditorPrimitives. [S] SceneActors, DebugDrawContext.
\Viewport\Previews\ModelBasePreview.cs                            [P] Generic-Model-Preview. {D} StaticModel, AnimatedModel. (F) OnBegin -> AdjustScale. [S] ScaleToFit.
\Viewport\Previews\ModelPreview.cs                                [P] Asset-Specific-Preview. {D} StaticModel, MeshDataCache. (F) ComputeLOD -> OnDebugDraw(Normals/Tangents). [S] ShowLOD, MeshDatas.
\Viewport\Previews\AnimatedModelPreview.cs                        [P] Preview-Sandbox. {D} AnimatedModel, DebugDraw. (F) Play -> Stop -> OnDebugDraw. [S] AnimationState, ShowNodes.
\Viewport\Previews\SkinnedModelPreview.cs                         [P] Asset-Specific-Preview. {D} AnimatedModelPreview. (F) ComputeLOD -> DrawLODStats. [S] ShowCurrentLOD.
\Viewport\Previews\AnimationPreview.cs                            [P] Asset-Specific-Preview. {D} AnimatedModelPreview. (F) PlayPause -> ResetCamera. [S] RootMotion.
\Viewport\Previews\MaterialPreview.cs                             [P] Preview-Sandbox. {D} StaticModel, Decal, Terrain, ParticleEffect. (F) UpdateMaterial (Domain Switch) -> OnSurfaceEdited. [S] SelectedModelIndex.
\Viewport\Previews\ParticleEmitterPreview.cs                      [P] Particle-Sandbox. {D} ParticleSystem, ParticleEmitter. (F) SetEmitter -> ResetSimulation. [S] PlaybackDuration.
\Viewport\Previews\ParticleSystemPreview.cs                       [P] Particle-Sandbox. {D} ParticleEffect, FPSCamera. (F) UpdateSimulation -> FitIntoView -> OnDebugDraw. [S] PlaySimulation, ShowBounds.
\Viewport\Previews\PrefabPreview.cs                               [P] Actor-Sandbox. {D} Prefab, PrefabManager, UIControl. (F) PrefabChanged -> SpawnPrefab -> UpdateLinkage (UI Support). [S] InstanceRef, UILinkedFlag.
\Viewport\Previews\TexturePreview.cs                              [P] UI-Sandbox/Material-Bridge. {D} TextureBase, MaterialInstance. (F) UpdateTextureRect -> DrawMaterial -> OnMouseWheel(Zoom). [S] ViewPos, ViewScale, ChannelFlags.
\Viewport\Previews\CubeTexturePreview.cs                          [P] Material-Sandbox. {D} MaterialInstance, CubeTexture. (F) SetCubeTexture -> UpdateMask. [S] ChannelFlags, MipLevel.
\Viewport\Previews\IESProfilePreview.cs                           [P] Material-Sandbox. {D} MaterialInstance, IESProfile. (F) AssetChanged -> DrawTexture.
\Viewport\Previews\AudioClipPreview.cs                            [P] Visualizer. {D} AudioClip. (F) AssetChanged -> DownloadData(Async) -> DrawPCM. [S] PCMDataBuffer, ViewScale.
\Viewport\Widgets\ViewportWidgetsContainer.cs                     [P] Layout-Container. {D} ViewportWidgetLocation. (F) PerformLayout -> ArrangeWidgets (Static). [S] WidgetLocation.
\Viewport\Widgets\ViewportWidgetButton.cs                         [P] UI-Control/Command-Trigger. {D} ContextMenu, Style. (F) OnMouseDown -> Clicked/Toggled. [S] Checked, AutoCheck.
\Viewport\ViewportDraggingHelper.cs                               [P] Command/Handler. {D} DragAssets, DragActorType. (F) DragEnter -> GetHitLocation -> Spawn. [S] Volatile-PreviewStates.
\GUI\Timeline\Timeline.cs                                         [P] Orchestrator {D} Track, Splitter, Undo (F) AddTrack -> DeleteSelectedTracks -> ArrangeTracks [S] Persistent (Serializable)
\GUI\Timeline\Timeline.Data.cs                                    [P] Serializer {D} BinaryReader/Writer (F) Load -> Save [S] Static
\GUI\Timeline\Timeline.UI.cs                                      [P] View {D} TimeIntervalsHeader, PropertiesEditPopup [S] Volatile UI
\GUI\Timeline\Track.cs                                            [P] Sequence Row {D} Media, DragTracks, Undo (F) Expand -> Rename -> OnTimelineArrange [S] Volatile/Serializable
\GUI\Timeline\Media.cs                                            [P] Sequence Segment {D} Track (F) OnTimelineZoomChanged -> Split -> Delete [S] Volatile/Serializable
\GUI\Timeline\TrackArchetype.cs                                   [P] Metadata/Factory Registry {D} Track [S] Static Config
\GUI\Timeline\AnimationTimeline.cs                                [P] Sequence Editor {D} AnimationPreview (F) Load -> UpdatePlaybackState -> OnSeek [S] Persistent
\GUI\Timeline\SceneAnimationTimeline.cs                           [P] Sequence Editor {D} SceneAnimationPlayer, EditCurveTrackGizmo (F) Update -> ShowSelected3dTrack [S] Persistent
\GUI\Timeline\ParticleSystemTimeline.cs                           [P] Sequence Editor {D} ParticleSystemPreview (F) Load -> SaveTimelineCustomData [S] Persistent
\GUI\Timeline\GUI\KeyframesEditor.cs                              [P] Points Canvas {D} KeyframePoint (F) OnMove -> UpdateKeyframes -> OnKeyframesPaste [S] Volatile
\GUI\Timeline\GUI\Background.cs                                   [P] Grid View {D} Timeline (F) Draw (Tracks/Ticks/Header) -> OnMouseWheel [S] Volatile
\GUI\Timeline\GUI\BackgroundArea.cs                               [P] Scroll Container {D} Timeline (F) OnMouseMove (Panning) [S] Volatile
\GUI\Timeline\GUI\PositionHandle.cs                               [P] Playhead {D} Timeline (F) Draw (Icon/Label/Line) [S] Volatile
\GUI\Timeline\GUI\TimelineEdge.cs                                 [P] Range Bound {D} TimelineUndoBlock (F) OnMouseMove (Duration) [S] Volatile
\GUI\Timeline\GUI\GradientEditor.cs                               [P] Visual Curve {D} StopControl (F) SetStopFrame -> SetStopColor [S] Volatile
\GUI\Timeline\Tracks\ObjectTrack.cs                               [P] Managed Host {D} CustomEditorsUtil (F) AddProperties -> AddEvents [S] Persistent
\GUI\Timeline\Tracks\ActorTrack.cs                                [P] Object Host {D} Actor, ScriptTrack (F) OnShowAddContextMenu -> SetActor [S] Persistent
\GUI\Timeline\Tracks\ScriptTrack.cs                               [P] Object Host {D} Script [S] Persistent
\GUI\Timeline\Tracks\AnimationChannelTrack.cs                     [P] Sub-Sequence Host [S] Persistent
\GUI\Timeline\Tracks\AnimationEventTrack.cs                       [P] Event Host {D} AnimationEventMedia (F) OnAddAnimEvent [S] Persistent
\GUI\Timeline\Tracks\AudioTrack.cs                                [P] Asset Sequence {D} AudioClip, AudioVolumeTrack (F) OnAddVolumeTrack [S] Persistent
\GUI\Timeline\Tracks\CameraCutTrack.cs                            [P] Specialized Host {D} Camera, CameraCutMedia (F) OnClickedPilotCamera [S] Persistent
\GUI\Timeline\Tracks\CurvePropertyTrack.cs                        [P] Animateable Row {D} BezierCurveEditor (F) Load -> Save [S] Persistent
\GUI\Timeline\Tracks\KeyframesPropertyTrack.cs                    [P] Animateable Row {D} KeyframesEditor (F) Load -> Save [S] Persistent
\GUI\Timeline\Tracks\ObjectPropertyTrack.cs                       [P] Hierarchical Row {D} ObjectTrack (F) OnAddButtonClicked [S] Persistent
\GUI\Timeline\Tracks\ObjectReferencePropertyTrack.cs              [P] Animateable Row {D} KeyframesEditor [S] Persistent
\GUI\Timeline\Tracks\EventTrack.cs                                [P] Animateable Row {D} KeyframesEditor, MethodInfo (F) OnAddKeyClicked [S] Persistent
\GUI\Timeline\Tracks\StringPropertyTrack.cs                       [P] Animateable Row [S] Persistent
\GUI\Timeline\Tracks\StructPropertyTrack.cs                       [P] Animateable Row {D} FieldInfo [S] Persistent
\GUI\Timeline\Tracks\MemberTrack.cs                               [P] Reflection Bridge {D} MemberInfo (F) Evaluate -> TryGetValue [S] Volatile
\GUI\Timeline\Tracks\ParticleEmitterTrack.cs                      [P] Asset Sequence {D} ParticleEmitter [S] Persistent
\GUI\Timeline\Tracks\PostProcessMaterialTrack.cs                  [P] Asset Sequence {D} MaterialBase [S] Persistent
\GUI\Timeline\Tracks\NestedAnimationTrack.cs                      [P] Asset Sequence {D} Animation [S] Persistent
\GUI\Timeline\Tracks\NestedSceneAnimationTrack.cs                 [P] Asset Sequence {D} SceneAnimation [S] Persistent
\GUI\Timeline\Tracks\SingleMediaTrack.cs                          [P] Base Sequence {D} Media [S] Persistent
\GUI\Timeline\Tracks\SingleMediaAssetTrack.cs                     [P] Base Sequence {D} AssetPicker [S] Persistent
\GUI\Timeline\Tracks\ScreenFadeTrack.cs                           [P] specialized Row {D} ScreenFadeMedia [S] Persistent
\GUI\Timeline\Tracks\FolderTrack.cs                               [P] Organizational Row {D} ColorValueBox [S] Persistent
\GUI\Timeline\Tracks\ConductorTrack.cs                            [P] Proxy Base {D} KeyframesEditor (F) LoadProxy -> SaveProxy [S] Volatile State
\GUI\Timeline\Undo\TimelineUndoBlock.cs                           [P] RAII [S] Volatile
\GUI\Timeline\Undo\TrackUndoBlock.cs                              [P] RAII [S] Volatile
\GUI\Timeline\Undo\AddRemoveTrackAction.cs                        [P] Command {D} TrackArchetype [S] Undo-State
\GUI\Timeline\Undo\EditTimelineAction.cs                          [P] Command [S] Undo-State
\GUI\Timeline\Undo\EditTrackAction.cs                             [P] Command [S] Undo-State
\GUI\Timeline\Undo\RenameTrackAction.cs                           [P] Command [S] Undo-State
\GUI\Timeline\Undo\ReorderTrackAction.cs                          [P] Command [S] Undo-State
\GUI\Timeline\Undo\EditFpsAction.cs                               [P] Command [S] Undo-State
\GUI\Timeline\EditCurveTrackGizmo.cs                              [P] Viewport Tool {D} BezierCurveEditor, TransformObjectsAction (F) OnApplyTransformation [S] Volatile
\GUI\KeyframesEditorUtils.cs                                      [P] Clipboard Helper {D} IKeyframesEditor (F) Copy -> Paste [S] Static
\GUI\IKeyframesEditor.cs                                          [P] Interface [S] N/A
\GUI\IKeyframesEditorContext.cs                                   [P] Interface [S] N/A
\Tools                                                            [P] Mediator Module Registry {D} GizmoModes, ToolboxWindow (F) Register -> Activate -> Interaction [S] Volatile Logic
\Tools\Terrain                                                    [P] Landscape/Heightfield Toolkit {D} Terrain actor, TerrainTools (F) Sculpt -> Paint -> NavMesh Bake [S] Session State
\Tools\Terrain\Brushes                                            [P] Strategy Registry {D} virtual MaterialInstances (F) Sample -> GetBrushMaterial [S] In-Memory Cache
\Tools\Terrain\Brushes\Brush.cs                                   [P] Abstract Strategy {D} virtual MaterialInstance (F) CacheMaterial -> Sample [S] In-Memory Cache
\Tools\Terrain\Brushes\CircleBrush.cs                             [P] Concrete Strategy {D} FalloffTypes (F) Sample -> CalculateFalloff [S] Volatile
\Tools\Terrain\Sculpt                                             [P] Vertex Deformation Strategy {D} Float buffers, PerlinNoise (F) Apply -> LoopPatches -> ModifyHeightMap [S] Volatile
\Tools\Terrain\Sculpt\Mode.cs                                     [P] Strategy Template {D} SculptTerrainGizmoMode (F) GetAffectedPatches -> ApplyBrush [S] Volatile
\Tools\Terrain\Sculpt\SculptMode.cs                               [P] Displacement Logic {D} Strength (F) ApplyBrushToPatch -> Height + Delta [S] Volatile
\Tools\Terrain\Sculpt\FlattenMode.cs                              [P] Linear Logic {D} Lerp (F) ApplyBrushToPatch -> BlendToTarget [S] Volatile
\Tools\Terrain\Sculpt\SmoothMode.cs                               [P] Filter Strategy {D} Kernel Sum (F) ApplyBrush -> Kernel Average -> ModifyHeightMap [S] Volatile
\Tools\Terrain\Sculpt\NoiseMode.cs                                [P] Generation Logic {D} PerlinNoise (F) ApplyBrushToPatch -> Height + Sample [S] Volatile
\Tools\Terrain\Sculpt\HolesMode.cs                                [P] Masking Logic {D} Threshold (F) ApplyBrushToPatch -> ModifyHolesMask [S] Volatile
\Tools\Terrain\Paint                                              [P] Weighted Blending Strategy {D} Color32 temp buffers (F) Apply -> CalculateWeights -> ModifySplatMap [S] Volatile
\Tools\Terrain\Paint\Mode.cs                                      [P] Abstract Strategy/Loop {D} ApplyParams (F) Apply -> LoopPatches -> Apply(ref) [S] Volatile
\Tools\Terrain\Paint\SingleLayerMode.cs                           [P] Blending Logic {D} TerrainTools (F) Apply -> SumOtherLayers -> ModifySplatMap [S] Volatile
\Tools\Terrain\Undo                                               [P] Binary Memento Command {D} Marshal/Unmanaged Memory (F) AddPatch -> RecordEnd -> Do/Undo [S] Persistent session
\Tools\Terrain\Undo\EditTerrainMapAction.cs                       [P] Binary Memento Command {D} PatchData, Navigation (F) AddPatch -> RecordEnd -> Undo [S] Serialized/Unmanaged
\Tools\Terrain\Undo\EditTerrainHeightMapAction.cs                 [P] Command {D} TerrainTools.ModifyHeightMap [S] Serialized
\Tools\Terrain\Undo\EditTerrainSplatMapAction.cs                  [P] Command {D} TerrainTools.ModifySplatMap [S] Serialized
\Tools\Terrain\Undo\EditTerrainHolesMapAction.cs                  [P] Command {D} TerrainTools.ModifyHolesMask [S] Serialized
\Tools\Terrain\CarveTab.cs                                        [P] Root Mediator {D} SculptTab, PaintTab, EditTab (F) OnSelected -> UpdateGizmoMode [S] Persistent UI
\Tools\Terrain\SculptTab.cs                                       [P] Model-View {D} ProxyObject, CustomEditorPresenter [S] Volatile UI
\Tools\Terrain\PaintTab.cs                                        [P] Model-View {D} ProxyObject, CustomEditorPresenter [S] Volatile UI
\Tools\Terrain\EditTab.cs                                         [P] Feature View {D} EditTerrainGizmoMode, Undo (F) OnSelectionChanged -> UpdateUI [S] Volatile UI
\Tools\Terrain\EditTerrainGizmoMode.cs                            [P] Strategy Context {D} EditTerrainGizmo (F) Init -> OnActivated [S] Volatile
\Tools\Terrain\EditTerrainGizmo.cs                                [P] Hit Strategy {D} Ray, TerrainNode (F) Pick -> RayCast -> SetSelectedChunk [S] Volatile
\Tools\Terrain\SculptTerrainGizmoMode.cs                          [P] Context Mediator {D} HeightmapData (F) SetCursor -> OnPaintStarted -> OnPaintEnded [S] Unmanaged Cache
\Tools\Terrain\SculptTerrainGizmo.cs                              [P] Spatial Interaction {D} SculptTerrainGizmoMode (F) Update -> PaintUpdate -> Apply [S] Volatile
\Tools\Terrain\PaintTerrainGizmoMode.cs                           [P] Context Mediator {D} SplatmapData (F) SetCursor -> OnPaintStarted -> OnPaintEnded [S] Unmanaged Cache
\Tools\Terrain\PaintTerrainGizmo.cs                               [P] Spatial Interaction {D} PaintTerrainGizmoMode (F) Update -> PaintUpdate -> Apply [S] Volatile
\Tools\Terrain\CreateTerrainDialog.cs                             [P] Async Factory {D} TerrainTools.Generate (F) OnSubmit -> Thread(Generate) -> Setup [S] Task-bound
\Tools\Foliage                                                    [P] Instanced Population Toolkit {D} Foliage actor, FoliageType (F) Paint -> Cluster Rebuild [S] Session State
\Tools\Foliage\Brush.cs                                           [P] Strategy {D} FoliageBrush material (F) GetBrushMaterial -> SetParams [S] Volatile
\Tools\Foliage\FoliageTab.cs                                      [P] Root Mediator {D} FoliageNode (F) InitModes -> UpdateGizmoMode [S] Persistent UI
\Tools\Foliage\PaintTab.cs                                        [P] Model-View {D} ProxyObject (F) OnSelectedFoliageChanged -> UpdateList [S] Volatile UI
\Tools\Foliage\EditTab.cs                                         [P] Model-View {D} ProxyObject, CustomEditorPresenter (F) OnSelectedInstanceChanged -> Select [S] Volatile UI
\Tools\Foliage\FoliageTypesTab.cs                                 [P] Collection View {D} ProxyObject, FoliageType (F) UpdateList -> OnModified [S] Volatile UI
\Tools\Foliage\PaintFoliageGizmoMode.cs                           [P] Strategy Context {D} PaintFoliageGizmo, Brush [S] Volatile
\Tools\Foliage\PaintFoliageGizmo.cs                               [P] Spatial Interaction {D} FoliageTools.Paint (F) Update -> RayCast -> PaintUpdate [S] Volatile
\Tools\Foliage\EditFoliageGizmoMode.cs                            [P] Strategy Context {D} SelectionOutline, EditFoliageGizmo (F) Init -> OnActivated [S] Volatile
\Tools\Foliage\EditFoliageGizmo.cs                                [P] Interaction Bridge {D} TransformGizmoBase (F) Pick -> Transform -> RecordEnd [S] Volatile
\Tools\Foliage\EditFoliageSelectionOutline.cs                     [P] PostProcess View {D} Renderer, StaticModel (F) DrawSelectionDepth -> Render [S] Frame-bound
\Tools\Foliage\Undo\EditFoliageAction.cs                          [P] Binary Memento {D} Foliage (F) RecordEnd -> Do/Undo (Swap JSON) [S] Serialized
\Tools\Foliage\Undo\DeleteInstanceAction.cs                       [P] Command {D} Foliage (F) Do (Remove) -> Undo (Add) [S] Serialized
\Tools\Foliage\Undo\EditInstanceAction.cs                         [P] Atomic Memento {D} Transform (F) Do/Undo (Swap local transform) [S] Serialized
\Tools\Foliage\Undo\EditSelectedInstanceIndexAction.cs            [P] State Memento {D} ToolboxWin (F) Do/Undo (Set index) [S] Volatile
\Tools\ClothPainting.cs                                           [P] Strategy/Interaction {D} Cloth, EditClothPaintAction (F) Update -> Intersects -> PaintUpdate [S] Volatile/Restorable
\Tools\VertexPainting.cs                                          [P] Strategy/Interaction {D} StaticModel, MeshDataCache (F) Update -> RayCast -> PaintUpdate [S] Volatile/Restorable
\Cooker                                                           [P] Process Pipeline {D} BuildPlatform, GamePlugins (F) Collect -> Cook -> Deploy [S] Task-bound (Process)
\Cooker\GameCooker.cs                                             [P] Pipeline Facade (Static) {D} BuildPlatform, BuildOptions (F) CollectAssets -> OnEvent -> OnProgress [S] Process-bound
\Progress                                                         [P] Observable Reporting {D} ProgressHandler (F) Start -> Update -> End [S] Volatile (Task-bound)
\Progress\ProgressHandler.cs                                      [P] Observable Subject {D} ProgressDelegate (F) OnStart -> OnUpdate -> OnEnd [S] Volatile
\Progress\Handlers\CompileScriptsProgress.cs                      [P] Task Observer {D} ScriptsBuilder, SelectionCache (F) Cache -> Reload -> Restore [S] Task-bound
\Progress\Handlers\ImportAssetsProgress.cs                        [P] Task Observer {D} ContentImporting [S] Task-bound
\Progress\Handlers\LoadAssetsProgress.cs                          [P] Task Observer {D} Content.Stats [S] Task-bound
\Progress\Handlers\BuildingGameProgress.cs                        [P] Task Observer {D} GameCooker (F) OnGameCookerProgress [S] Task-bound
\Progress\Handlers\NavMeshBuildingProgress.cs                     [P] Task Observer {D} Navigation (F) Update (Poll Backend) [S] Task-bound
\Progress\Handlers\BakeEnvProbesProgress.cs                       [P] Task Observer {D} EnvironmentProbe (F) OnBakeStart -> UpdateProgress [S] Task-bound
\Progress\Handlers\BakeLightmapsProgress.cs                       [P] Task Observer {D} GPUDevice (F) OnLightmapsBakeProgress [S] Task-bound
\Progress\Handlers\GenerateScriptsProjectFilesProgress.cs         [P] Task Observer {D} ScriptsBuilder [S] Task-bound
\Progress\Handlers\CodeEditorOpenProgress.cs                      [P] Task Observer {D} ScriptsBuilder [S] Task-bound
\Plugins                                                          [P] Extension Bridge {D} EditorPlugin, GamePlugin (F) Init -> InitializeEditor -> Deinit [S] Managed
\Plugins\EditorPlugin.cs                                          [P] Extension Lifecycle {D} Editor (F) Initialize_Internal -> InitializeEditor [S] Managed
\Plugins\PluginUtils.cs                                           [P] Metadata Utility {D} Assembly (F) TryGetPluginIcon -> GetPluginToExport [S] Static
\Windows                                                          [P] Mediator-Subsystem. Root for all Editor UI interactions.
\Windows\EditorWindow.cs                                          [P] Abstract-Base/Dockable. {D} Editor. (F) OnInit -> OnUpdate -> OnExit -> OnDestroy.
\Windows\SceneEditorWindow.cs                                     [P] Bridge/Editor-Logic. {D} SceneEditing, Viewport. (F) DeleteSelection -> FocusSelection -> Spawn.
\Windows\EditGameWindow.cs                                        [P] Primary-Scene-Editor. {D} MainEditorGizmoViewport, CameraPreview. (F) PilotActor -> UpdateCameraPreview. [S] ViewportState.
\Windows\GameWindow.cs                                            [P] PIE-Output (Play In Editor). {D} MainRenderTask, UIEditorRoot. (F) OnPlayBegin -> ResizeViewport -> Draw. [S] AspectRatio, ContentScale.
